word1,word2,wordSimScore,modelScore
가입,티켓,5.536,3.067
술,화학,4.125,2.2925
알류미늄,금속,6.625,4.334
발표,노력,2.0625,1.8661
발표,소식,7.1875,3.974
발표,생산,1.6875,3.0108
발표,경고,4.625,2.6087
아라파트,잭슨,1.0,0.7752
아라파트,평화,2.125,1.6309
아라파트,공포,3.0625,0.4263
건축학,세기,1.929,0.7834
준비,숙소,5.125,2.1738
도착,호텔,2.1875,3.8372
보호 시설,미친 집,8.0625,
대기,풍경,3.5625,2.43
시도,평화,0.9375,1.6956
아기,어머니,5.25,2.5513
은행,돈,6.625,2.6092
야구,계절,3.2565,1.9277
침대,벽장,2.25,4.3814
기준,색인,5.5,2.3155
새,수탉,5.875,2.1356
새,두루미,4.8125,1.7781
주교,랍비,5.375,3.2526
판자,추천,1.25,1.575
책,도서관,5.3125,3.039
책,종이,5.875,4.2782
권투,둥근,4.1875,2.1045
소년,젊은이,7.844,2.9899
빵,버터,4.1875,4.6956
형제,수도사,4.25,1.5265
계산,계산,8.0565,10.0
깊은 협곡,풍경,5.25,
자동차,자동차,9.369,10.0
자동차,비행,2.4375,1.917
셀,핸드폰,6.25,1.2837
묘지,삼림지,2.3125,2.8529
세기,국가,2.1875,2.0038
세기,년도,4.0,3.6506
선수권 대회,토너먼트,7.5,
가능성,믿을 수 있음,2.163,
변화,태도,3.375,4.4321
현,웃다,0.8125,1.4658
벽장,옷,4.625,3.2715
해안,숲,2.125,3.1573
해안,언덕,2.3125,3.0673
해안,지주,8.2755,1.6396
회사,재고,3.75,1.8738
경쟁,가격,3.0,3.7493
컴퓨터,인터넷,6.125,4.7826
컴퓨터,건반,5.9375,2.3757
컴퓨터,실혐실,3.375,
컴퓨터,소식,1.6875,0.7054
컴퓨터,소프트웨어,6.1875,5.1822
콘서트,거장,3.6875,1.4517
소비자,신뢰,1.6875,2.8034
소비자,에너지,2.75,2.6763
국가,시민,4.3125,3.2488
두루미,구현하다,2.125,-0.3291
신용 거래,카드,4.5625,
신용 거래,정보,3.644,
오이,감자,4.0625,4.6111
컵,기사,1.3125,1.2623
컵,인공물,2.5,0.9676
컵,커피,5.0625,3.7376
컵,마시다,4.75,1.9876
컵,실재,1.375,0.9126
컵,음식,1.875,2.8317
컵,액체,3.75,3.2213
컵,물체,4.25,2.1068
컵,물질,1.9375,2.1244
컵,식기,6.0,3.983
통화,시장,4.3125,3.2899
낮,새벽,4.625,5.2304
낮,여름,3.125,3.7856
죽음,동거인,1.944,1.2699
죽음,열,1.6875,2.1001
장식,용기,3.25,2.1821
지연,소식,1.4375,1.494
지연,민족적 우월감,0.875,
전개,출발,5.5,2.3265
전개,철수,3.5,2.8933
개발,문제,3.3125,2.6648
방향,콤비네이션,2.0625,1.0961
무능,죽음,2.3125,3.4929
재해,영역,1.625,2.4262
발견,공간,3.9375,1.6417
피제수,계산,5.1875,2.2639
피제수,지불,5.5,1.5851
의사,책임,2.5,2.4189
의사,간호사,6.125,3.9519
의사,인원,3.5625,2.3879
달러,책임,8.5625,1.3557
달러,손실,2.1875,2.8847
달러,이익,5.375,3.2635
달러,엔,6.3125,5.0125
마시다,자동차,0.3125,0.5746
마시다,귀,0.375,0.4514
마시다,먹다,4.125,4.6708
마시다,어머니,0.5625,0.5185
마시다,입,4.7375,0.8327
의약품,남용,4.9375,2.1165
에너지,위기,3.0505,1.8847
에너지,실혐실,2.7565,
에너지,비서,1.0625,1.0175
환경,생태학,7.1875,3.7437
장비,만드는 사람,2.5625,
전시하다,기념품,4.625,1.7002
경험,음악,2.3125,2.3146
가족,계획,1.75,2.961
FBI,지문,4.0625,1.2216
FBI,조사,5.0625,1.7702
비옥,계란,5.1875,2.8193
화이팅,패배,5.5,0.7866
다섯,월,1.069,1.7787
집중하다,삶,2.3125,1.5175
음식,과일,7.0625,4.3292
음식,준비,3.75,2.995
음식,수탉,2.5625,2.4215
축구,농구,4.125,6.7481
축구,축구,8.5625,10.0
축구,테니스,3.6875,3.2984
숲,묘소,1.394,2.5773
못쓰게 만들다,섹스,8.25,
노,난로,8.0625,2.8952
게임,패배시키다,3.6875,0.4283
게임,둥근,5.1875,1.7065
게임,시리즈,4.5625,2.7719
게임,팀,4.625,3.4655
게임,승리,4.6875,2.2269
보석,보석,8.375,10.0
성별,평등,3.4375,3.8886
유리,마술사,1.0,1.2027
유리,금속,2.1875,4.3141
정부,위기,3.625,2.8558
지사,회견,1.625,2.53
지사,사무실,4.3125,2.9487
식료품점,돈,3.375,1.0622
하버드,예일 대학,4.875,
거룩한,섹스,1.069,0.7479
병원,하부 구조,3.3125,
호텔,예약,5.0625,4.6161
백,퍼센트,4.4375,2.4376
영상,표면,1.8125,2.9968
공평성,관심,1.875,0.8689
조사,노력,3.75,2.3847
투자자,수입,5.0625,0.4783
재규어,자동차,5.3125,3.6267
재규어,고양이,6.4375,1.8131
일본어,미국 사람,3.125,
예루살렘,이스라엘,6.4375,5.2609
예루살렘,팔레스타인 사람,4.5,
신문,협회,2.625,3.3319
여행,자동차,4.0625,2.6338
여행,항해,7.5,3.0205
왕,양배추,0.625,0.6844
왕,여왕,5.6875,4.1683
왕,사기꾼,3.125,1.6915
젊은이,형제,4.9375,2.7595
젊은이,마법사,1.6875,1.8611
법,변호사,6.1875,1.6894
변호사,증거,3.9375,0.5818
책임,보험,4.375,2.8255
삶,죽음,4.375,4.5212
삶,수업,3.1875,3.4822
삶,용어,3.8125,2.0466
선,보험,1.3125,1.2323
액체,물,7.0625,5.102
목록,범주,5.375,2.837
목록,근접성,1.4375,1.2483
랍스터,음식,5.75,2.5622
랍스터,와인,2.375,1.9871
사랑,섹스,6.375,3.8409
애인,싸움,1.6875,1.5432
사치,자동차,3.3125,1.1865
마술사,마법사,7.6875,3.479
남성,지사,4.25,1.5449
남성,여성,4.5,8.5047
마라도나,축구,5.375,3.1353
마라톤,스프린트,4.9375,3.8684
화성,과학자,4.375,1.8461
화성,물,1.5625,2.0565
미디어,얻다,1.375,-0.1242
미디어,라디오,6.4375,3.0466
미디어,거래,1.8125,1.4655
멕시코,브라질,3.9375,5.0848
대낮,정오,8.9375,3.9705
마일,킬로미터,6.9375,4.905
장관,파티,3.0625,2.1261
내각,문화,2.844,2.2145
소수,평화,1.1875,0.6195
돈,은행,6.0,2.6092
돈,현금,8.875,4.4145
돈,현금,9.0315,4.4145
돈,통화,7.9375,2.6812
돈,보증금,5.375,1.451
돈,달러,7.6875,3.3472
돈,세탁,4.4565,2.7946
돈,작업,1.875,1.396
돈,소유,4.3125,1.9547
돈,재산,5.0625,3.7918
돈,재산,7.0625,3.7918
돈,철수,4.0625,0.6036
수도사,신탁,2.5625,0.5122
수도사,노예,2.5625,1.2818
월,호텔,1.0625,3.3852
도덕,중요성,2.5,1.6706
도덕,결혼,2.375,2.9289
영화,비평가,3.1875,2.8912
영화,팝콘,3.875,3.3685
영화,별,4.3125,1.543
영화,극장,6.125,4.1085
살인,살인,7.5,10.0
박물관,극장,3.875,4.2654
음악,프로젝트,3.1875,2.1221
자연,환경,6.9375,5.0932
자연,남성,2.9375,2.1908
회로망,하드웨어,3.8125,1.8475
소식,보고서,6.8125,1.1567
정오,끈,0.6875,1.1417
관찰,건축학,1.875,0.1688
기름,재고,2.9375,2.3944
OPEC,국가,3.6875,1.5909
OPEC,기름,5.5625,1.9264
오페라,산업,1.194,1.9097
오페라,성능,4.875,1.0677
평화,대기,2.1875,2.4983
평화,보험,1.7565,2.6063
평화,계획,1.5,2.6663
핸드폰,장비,4.0315,2.0961
물리학,화학,5.0625,4.3166
물리학,양성자,6.125,2.9068
비행기,자동차,3.5625,3.7795
행성,천문학자,5.4375,2.4485
행성,별자리,4.3125,3.3888
행성,은하,6.125,4.2882
행성,달,6.0,3.3394
행성,사람들,3.375,1.1073
행성,공간,5.3125,3.3293
행성,별,5.625,3.592
행성,해,5.8125,1.1128
인구,개발,3.4755,2.5289
가능성,소녀,1.069,0.8843
관행,기관,3.5625,1.9667
전례,전례,4.0,10.0
전례,인식,2.0,0.9631
전례,수집,1.0625,2.4789
전례,예,5.4375,0.8351
전례,그룹,1.5625,1.5346
전례,정보,2.375,1.2832
전례,법,4.375,1.4943
편견,인식,3.3125,4.1728
보존,세계,2.4375,1.8146
대통령,메달,1.25,1.4892
문제,공항,1.3125,2.568
문제,도전,6.875,2.6384
생산,승무원,3.1875,0.9953
생산,인상,0.9375,2.0295
교수,오이,0.3125,1.6451
교수,의사,6.125,3.5799
이익,손실,3.875,4.1263
이익,경고,1.6875,0.9926
심리학,불안,3.75,2.8449
심리학,진료소,4.344,1.5005
심리학,인식,4.0,1.5996
심리학,우울증,5.25,3.3241
심리학,규율,3.3125,1.7927
심리학,의사,5.294,1.8274
심리학,두려움,3.1875,2.1566
심리학,프로이트,5.6875,4.3176
심리학,건강,4.3625,3.0695
심리학,정신,5.4375,3.1199
심리학,정신과,6.9375,2.8673
심리학,과학,5.9505,4.0062
이유,표준,4.625,1.3192
이유,고혈압,0.875,0.7395
기록,숫자,3.5,2.6714
등록,준비,3.4375,2.9648
보고서,얻다,2.25,1.0304
바위,재즈,5.5,1.6827
수탉,항해,0.9375,2.0393
학교,센터,3.875,3.1515
해물,음식,6.875,4.9312
해물,랍스터,6.9375,4.9846
해물,바다,5.375,3.4735
비서,상원,3.75,2.1308
일곱,시리즈,2.25,1.6464
지주,삼림지,1.625,1.3914
샤워,홍수,3.5625,3.0647
샤워,뇌우,4.0,2.3673
징후,휴게,1.5065,1.5668
상황,결론,3.5625,2.8444
상황,격리,1.9375,2.3341
크기,돌기,3.75,3.07
피부,눈,2.75,4.0353
똑똑한,학생,3.625,1.2347
똑똑한,멍청한,3.25,5.0033
비누,오페라,3.5625,1.3864
공간,화학,1.8875,2.3286
공간,세계,4.9375,2.368
시작,성냥,2.5,1.7987
시작,년도,1.625,2.5119
재고,CD,2.4375,1.4493
재고,계란,1.4375,2.7701
재고,재규어,0.9375,0.5408
재고,삶,1.8125,1.3428
재고,살다,1.875,1.6251
재고,시장,4.875,2.3718
재고,핸드폰,0.75,1.1523
거리,수단,7.6875,2.3083
거리,차단하다,6.5625,0.6866
거리,어린이들,1.294,1.2776
거리,장소,4.5,2.9522
뇌졸중,병원,3.625,1.9662
학생,교수,4.9375,4.3163
설탕,접근하다,0.9375,-0.1626
여름,가뭄,3.3125,3.916
여름,자연,4.0,3.0656
전화,의사소통,6.6875,1.9416
텔레비전,영화,5.75,4.0645
텔레비전,라디오,4.625,5.2422
테니스,라켓,5.0,4.5102
지역,킬로미터,2.1875,1.2093
지역,표면,3.594,2.5227
극장,역사,1.9375,3.075
호랑이,동물,6.9375,2.933
호랑이,육식동물,6.0,2.8002
호랑이,고양이,6.75,3.2106
호랑이,동물상,3.4375,2.7277
호랑이,고양이 같은,5.0625,
호랑이,재규어,5.75,2.5283
호랑이,포유 동물,6.25,
호랑이,유기체,3.0625,0.879
호랑이,호랑이,10.0,10.0
호랑이,동물원,4.9375,2.7318
도구,구현하다,5.3125,0.8527
기차,자동차,3.5,3.6698
여행하다,활동,4.1875,-0.1903
치료,회복,5.3125,4.6016
유형,친절한,8.4375,0.9927
피해자,비상,2.6875,0.8475
동영상,보관소,3.4375,1.9292
뷰어,연속물,2.5625,1.2846
보드카,브랜디,6.25,3.9537
보드카,진,6.0625,2.9392
자원 봉사자,금언,1.3815,
전쟁,군대,6.375,3.4921
물,누출,3.875,3.3052
무기,비밀,2.5,3.6781
날씨,예측,5.4375,2.9073
수요일,소식,1.125,1.9323
목재,숲,7.9375,3.3802
단어,유사성,0.8125,2.4957
