가입,티켓,5.536
술,화학,4.125
알류미늄,금속,6.625
발표,노력,2.0625
발표,소식,7.1875
발표,생산,1.6875
발표,경고,4.625
아라파트,잭슨,1.0
아라파트,평화,2.125
아라파트,공포,3.0625
건축학,세기,1.929
준비,숙소,5.125
도착,호텔,2.1875
보호 시설,미친 집,8.0625
대기,풍경,3.5625
시도,평화,0.9375
아기,어머니,5.25
은행,돈,6.625
야구,계절,3.2565
침대,벽장,2.25
기준,색인,5.5
새,수탉,5.875
새,두루미,4.8125
주교,랍비,5.375
판자,추천,1.25
책,도서관,5.3125
책,종이,5.875
권투,둥근,4.1875
소년,젊은이,7.844
빵,버터,4.1875
형제,수도사,4.25
계산,계산,8.0565
깊은 협곡,풍경,5.25
자동차,자동차,9.369
자동차,비행,2.4375
셀,핸드폰,6.25
묘지,삼림지,2.3125
세기,국가,2.1875
세기,년도,4.0
선수권 대회,토너먼트,7.5
가능성,믿을 수 있음,2.163
변화,태도,3.375
현,웃다,0.8125
벽장,옷,4.625
해안,숲,2.125
해안,언덕,2.3125
해안,지주,8.2755
회사,재고,3.75
경쟁,가격,3.0
컴퓨터,인터넷,6.125
컴퓨터,건반,5.9375
컴퓨터,실혐실,3.375
컴퓨터,소식,1.6875
컴퓨터,소프트웨어,6.1875
콘서트,거장,3.6875
소비자,신뢰,1.6875
소비자,에너지,2.75
국가,시민,4.3125
두루미,구현하다,2.125
신용 거래,카드,4.5625
신용 거래,정보,3.644
오이,감자,4.0625
컵,기사,1.3125
컵,인공물,2.5
컵,커피,5.0625
컵,마시다,4.75
컵,실재,1.375
컵,음식,1.875
컵,액체,3.75
컵,물체,4.25
컵,물질,1.9375
컵,식기,6.0
통화,시장,4.3125
낮,새벽,4.625
낮,여름,3.125
죽음,동거인,1.944
죽음,열,1.6875
장식,용기,3.25
지연,소식,1.4375
지연,민족적 우월감,0.875
전개,출발,5.5
전개,철수,3.5
개발,문제,3.3125
방향,콤비네이션,2.0625
무능,죽음,2.3125
재해,영역,1.625
발견,공간,3.9375
피제수,계산,5.1875
피제수,지불,5.5
의사,책임,2.5
의사,간호사,6.125
의사,인원,3.5625
달러,책임,8.5625
달러,손실,2.1875
달러,이익,5.375
달러,엔,6.3125
마시다,자동차,0.3125
마시다,귀,0.375
마시다,먹다,4.125
마시다,어머니,0.5625
마시다,입,4.7375
의약품,남용,4.9375
에너지,위기,3.0505
에너지,실혐실,2.7565
에너지,비서,1.0625
환경,생태학,7.1875
장비,만드는 사람,2.5625
전시하다,기념품,4.625
경험,음악,2.3125
가족,계획,1.75
FBI,지문,4.0625
FBI,조사,5.0625
비옥,계란,5.1875
화이팅,패배,5.5
다섯,월,1.069
집중하다,삶,2.3125
음식,과일,7.0625
음식,준비,3.75
음식,수탉,2.5625
축구,농구,4.125
축구,축구,8.5625
축구,테니스,3.6875
숲,묘소,1.394
못쓰게 만들다,섹스,8.25
노,난로,8.0625
게임,패배시키다,3.6875
게임,둥근,5.1875
게임,시리즈,4.5625
게임,팀,4.625
게임,승리,4.6875
보석,보석,8.375
성별,평등,3.4375
유리,마술사,1.0
유리,금속,2.1875
정부,위기,3.625
지사,회견,1.625
지사,사무실,4.3125
식료품점,돈,3.375
하버드,예일 대학,4.875
거룩한,섹스,1.069
병원,하부 구조,3.3125
호텔,예약,5.0625
백,퍼센트,4.4375
영상,표면,1.8125
공평성,관심,1.875
조사,노력,3.75
투자자,수입,5.0625
재규어,자동차,5.3125
재규어,고양이,6.4375
일본어,미국 사람,3.125
예루살렘,이스라엘,6.4375
예루살렘,팔레스타인 사람,4.5
신문,협회,2.625
여행,자동차,4.0625
여행,항해,7.5
왕,양배추,0.625
왕,여왕,5.6875
왕,사기꾼,3.125
젊은이,형제,4.9375
젊은이,마법사,1.6875
법,변호사,6.1875
변호사,증거,3.9375
책임,보험,4.375
삶,죽음,4.375
삶,수업,3.1875
삶,용어,3.8125
선,보험,1.3125
액체,물,7.0625
목록,범주,5.375
목록,근접성,1.4375
랍스터,음식,5.75
랍스터,와인,2.375
사랑,섹스,6.375
애인,싸움,1.6875
사치,자동차,3.3125
마술사,마법사,7.6875
남성,지사,4.25
남성,여성,4.5
마라도나,축구,5.375
마라톤,스프린트,4.9375
화성,과학자,4.375
화성,물,1.5625
미디어,얻다,1.375
미디어,라디오,6.4375
미디어,거래,1.8125
멕시코,브라질,3.9375
대낮,정오,8.9375
마일,킬로미터,6.9375
장관,파티,3.0625
내각,문화,2.844
소수,평화,1.1875
돈,은행,6.0
돈,현금,8.875
돈,현금,9.0315
돈,통화,7.9375
돈,보증금,5.375
돈,달러,7.6875
돈,세탁,4.4565
돈,작업,1.875
돈,소유,4.3125
돈,재산,5.0625
돈,재산,7.0625
돈,철수,4.0625
수도사,신탁,2.5625
수도사,노예,2.5625
월,호텔,1.0625
도덕,중요성,2.5
도덕,결혼,2.375
영화,비평가,3.1875
영화,팝콘,3.875
영화,별,4.3125
영화,극장,6.125
살인,살인,7.5
박물관,극장,3.875
음악,프로젝트,3.1875
자연,환경,6.9375
자연,남성,2.9375
회로망,하드웨어,3.8125
소식,보고서,6.8125
정오,끈,0.6875
관찰,건축학,1.875
기름,재고,2.9375
OPEC,국가,3.6875
OPEC,기름,5.5625
오페라,산업,1.194
오페라,성능,4.875
평화,대기,2.1875
평화,보험,1.7565
평화,계획,1.5
핸드폰,장비,4.0315
물리학,화학,5.0625
물리학,양성자,6.125
비행기,자동차,3.5625
행성,천문학자,5.4375
행성,별자리,4.3125
행성,은하,6.125
행성,달,6.0
행성,사람들,3.375
행성,공간,5.3125
행성,별,5.625
행성,해,5.8125
인구,개발,3.4755
가능성,소녀,1.069
관행,기관,3.5625
전례,전례,4.0
전례,인식,2.0
전례,수집,1.0625
전례,예,5.4375
전례,그룹,1.5625
전례,정보,2.375
전례,법,4.375
편견,인식,3.3125
보존,세계,2.4375
대통령,메달,1.25
문제,공항,1.3125
문제,도전,6.875
생산,승무원,3.1875
생산,인상,0.9375
교수,오이,0.3125
교수,의사,6.125
이익,손실,3.875
이익,경고,1.6875
심리학,불안,3.75
심리학,진료소,4.344
심리학,인식,4.0
심리학,우울증,5.25
심리학,규율,3.3125
심리학,의사,5.294
심리학,두려움,3.1875
심리학,프로이트,5.6875
심리학,건강,4.3625
심리학,정신,5.4375
심리학,정신과,6.9375
심리학,과학,5.9505
이유,표준,4.625
이유,고혈압,0.875
기록,숫자,3.5
등록,준비,3.4375
보고서,얻다,2.25
바위,재즈,5.5
수탉,항해,0.9375
학교,센터,3.875
해물,음식,6.875
해물,랍스터,6.9375
해물,바다,5.375
비서,상원,3.75
일곱,시리즈,2.25
지주,삼림지,1.625
샤워,홍수,3.5625
샤워,뇌우,4.0
징후,휴게,1.5065
상황,결론,3.5625
상황,격리,1.9375
크기,돌기,3.75
피부,눈,2.75
똑똑한,학생,3.625
똑똑한,멍청한,3.25
비누,오페라,3.5625
공간,화학,1.8875
공간,세계,4.9375
시작,성냥,2.5
시작,년도,1.625
재고,CD,2.4375
재고,계란,1.4375
재고,재규어,0.9375
재고,삶,1.8125
재고,살다,1.875
재고,시장,4.875
재고,핸드폰,0.75
거리,수단,7.6875
거리,차단하다,6.5625
거리,어린이들,1.294
거리,장소,4.5
뇌졸중,병원,3.625
학생,교수,4.9375
설탕,접근하다,0.9375
여름,가뭄,3.3125
여름,자연,4.0
전화,의사소통,6.6875
텔레비전,영화,5.75
텔레비전,라디오,4.625
테니스,라켓,5.0
지역,킬로미터,2.1875
지역,표면,3.594
극장,역사,1.9375
호랑이,동물,6.9375
호랑이,육식동물,6.0
호랑이,고양이,6.75
호랑이,동물상,3.4375
호랑이,고양이 같은,5.0625
호랑이,재규어,5.75
호랑이,포유 동물,6.25
호랑이,유기체,3.0625
호랑이,호랑이,10.0
호랑이,동물원,4.9375
도구,구현하다,5.3125
기차,자동차,3.5
여행하다,활동,4.1875
치료,회복,5.3125
유형,친절한,8.4375
피해자,비상,2.6875
동영상,보관소,3.4375
뷰어,연속물,2.5625
보드카,브랜디,6.25
보드카,진,6.0625
자원 봉사자,금언,1.3815
전쟁,군대,6.375
물,누출,3.875
무기,비밀,2.5
날씨,예측,5.4375
수요일,소식,1.125
목재,숲,7.9375
단어,유사성,0.8125
